name,chineseName,englishName,pinyinName,sku,description,category,unit,requiresPrescription,basePrice,metadata,status
"大青叶","大青叶","Qingye","qingye","TCM-QI-090","大青叶，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""大青叶"""",""""pricePerGram"""":0.018}}","active"
"岗梅根","岗梅根","岗梅gen","岗梅gen","TCM-GE-091","岗梅根，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""岗梅根"""",""""pricePerGram"""":0.018}}","active"
"虎杖","虎杖","Hu杖","hu杖","TCM-HU-092","虎杖，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""虎杖"""",""""pricePerGram"""":0.018}}","active"
"荆芥","荆芥","荆芥","荆芥","TCM-OJ-093","荆芥，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""荆芥"""",""""pricePerGram"""":0.018}}","active"
"宽筋藤","宽筋藤","宽筋teng","宽筋teng","TCM-TE-094","宽筋藤，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""宽筋藤"""",""""pricePerGram"""":0.018}}","active"
"秦皮","秦皮","秦pi","秦pi","TCM-PI-095","秦皮，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""秦皮"""",""""pricePerGram"""":0.018}}","active"
"青皮丝","青皮丝","Qingpi","qingpi","TCM-QI-096","青皮丝，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""青皮丝"""",""""pricePerGram"""":0.018}}","active"
"青风藤","青风藤","Qing风teng","qing风teng","TCM-QI-097","青风藤，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""青风藤"""",""""pricePerGram"""":0.018}}","active"
"山楂","山楂","Crataegus pinnatifida","shanzha","TCM-SH-098","山楂，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""山楂"""",""""pricePerGram"""":0.018}}","active"
"伸筋草","伸筋草","Lycopodium japonicum","shenjincao","TCM-SH-099","伸筋草，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""伸筋草"""",""""pricePerGram"""":0.018}}","active"
"珍珠透骨草","珍珠透骨草","珍珠透骨cao","珍珠透骨cao","TCM-CA-100","珍珠透骨草，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""珍珠透骨草"""",""""pricePerGram"""":0.018}}","active"
"王不留行子","王不留行子","王不留行zi","王不留行zi","TCM-ZI-101","王不留行子，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""王不留行子"""",""""pricePerGram"""":0.018}}","active"
"番泻叶","番泻叶","番泻ye","番泻ye","TCM-YE-102","番泻叶，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""番泻叶"""",""""pricePerGram"""":0.018}}","active"
"豨莶草","豨莶草","豨莶cao","豨莶cao","TCM-CA-103","豨莶草，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""豨莶草"""",""""pricePerGram"""":0.018}}","active"
"小茴香","小茴香","Foeniculum vulgare","xiaofenxiang","TCM-XI-104","小茴香，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""小茴香"""",""""pricePerGram"""":0.018}}","active"
"炒葶苈子","炒葶苈子","葶苈zi","葶苈zi","TCM-ZI-105","炒葶苈子，中药材","其他中药","克",true,0.0185,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""炒葶苈子"""",""""pricePerGram"""":0.0185}}","active"
"黄药子","黄药子","Huangyaozi","huangyaozi","TCM-HU-106","黄药子，中药材","其他中药","克",true,0.019,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""黄药子"""",""""pricePerGram"""":0.019}}","active"
"莱菔子","莱菔子","Laifuzi","laifuzi","TCM-LA-107","莱菔子，中药材","其他中药","克",true,0.019,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""莱菔子"""",""""pricePerGram"""":0.019}}","active"
"女贞子","女贞子","女贞zi","女贞zi","TCM-ZI-108","女贞子，中药材","其他中药","克",true,0.019,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""女贞子"""",""""pricePerGram"""":0.019}}","active"
"酒女贞子","酒女贞子","女贞zi","女贞zi","TCM-ZI-109","酒女贞子，中药材","其他中药","克",true,0.019,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""酒女贞子"""",""""pricePerGram"""":0.019}}","active"
"神曲茶","神曲茶","神曲茶","神曲茶","TCM-AQ-110","神曲茶，中药材","其他中药","克",true,0.019,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""神曲茶"""",""""pricePerGram"""":0.019}}","active"
"广金钱草","广金钱草","广jin钱cao","广jin钱cao","TCM-JI-111","广金钱草，中药材","其他中药","克",true,0.01914,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""广金钱草"""",""""pricePerGram"""":0.01914}}","active"
"苍耳子","苍耳子","苍耳zi","苍耳zi","TCM-ZI-112","苍耳子，中药材","其他中药","克",true,0.0193,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""苍耳子"""",""""pricePerGram"""":0.0193}}","active"
"白芥子","白芥子","Bai芥zi","bai芥zi","TCM-BA-113","白芥子，中药材","其他中药","克",true,0.0195,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""白芥子"""",""""pricePerGram"""":0.0195}}","active"
"黑芝麻","黑芝麻","Hei芝麻","hei芝麻","TCM-HE-114","黑芝麻，中药材","其他中药","克",true,0.0195,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""黑芝麻"""",""""pricePerGram"""":0.0195}}","active"
"夜交藤","夜交藤","夜交teng","夜交teng","TCM-TE-115","夜交藤，中药材","其他中药","克",true,0.0195,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""夜交藤"""",""""pricePerGram"""":0.0195}}","active"
"桂枝","桂枝","桂zhi","桂zhi","TCM-ZH-116","桂枝，中药材","其他中药","克",true,0.0198,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""桂枝"""",""""pricePerGram"""":0.0198}}","active"
"白茅根","白茅根","Baimaogen","baimaogen","TCM-BA-117","白茅根，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""白茅根"""",""""pricePerGram"""":0.02}}","active"
"半枝莲","半枝莲","Zhilian","zhilian","TCM-ZH-118","半枝莲，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""半枝莲"""",""""pricePerGram"""":0.02}}","active"
"陈皮丝","陈皮丝","Citrus reticulata","chenpi","TCM-CH-119","陈皮丝，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""陈皮丝"""",""""pricePerGram"""":0.02}}","active"
"大飞扬","大飞扬","飞扬","飞扬","TCM-VE-120","大飞扬，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""大飞扬"""",""""pricePerGram"""":0.02}}","active"
"淡竹叶","淡竹叶","淡竹ye","淡竹ye","TCM-YE-121","淡竹叶，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""淡竹叶"""",""""pricePerGram"""":0.02}}","active"
"冬瓜子","冬瓜子","Dong瓜zi","dong瓜zi","TCM-DO-122","冬瓜子，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""冬瓜子"""",""""pricePerGram"""":0.02}}","active"
"冬葵子","冬葵子","Dong葵zi","dong葵zi","TCM-DO-123","冬葵子，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""冬葵子"""",""""pricePerGram"""":0.02}}","active"
"浮萍","浮萍","浮萍","浮萍","TCM-MF-124","浮萍，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""浮萍"""",""""pricePerGram"""":0.02}}","active"
"浮小麦","浮小麦","浮mai","浮mai","TCM-MA-125","浮小麦，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""浮小麦"""",""""pricePerGram"""":0.02}}","active"
"葫芦巴","葫芦巴","葫luba","葫luba","TCM-LU-126","葫芦巴，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""葫芦巴"""",""""pricePerGram"""":0.02}}","active"
"鸡血藤","鸡血藤","Ji血teng","ji血teng","TCM-JI-127","鸡血藤，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""鸡血藤"""",""""pricePerGram"""":0.02}}","active"
"鸡矢藤","鸡矢藤","Ji矢teng","ji矢teng","TCM-JI-128","鸡矢藤，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""鸡矢藤"""",""""pricePerGram"""":0.02}}","active"
"莲房","莲房","Lian房","lian房","TCM-LI-129","莲房，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""莲房"""",""""pricePerGram"""":0.02}}","active"
"马鞭草","马鞭草","Ma鞭cao","ma鞭cao","TCM-MA-130","马鞭草，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""马鞭草"""",""""pricePerGram"""":0.02}}","active"
"马齿苋","马齿苋","Ma齿苋","ma齿苋","TCM-MA-131","马齿苋，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""马齿苋"""",""""pricePerGram"""":0.02}}","active"
"芒果核","芒果核","芒guohe","芒guohe","TCM-GU-132","芒果核，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""芒果核"""",""""pricePerGram"""":0.02}}","active"
"密蒙花","密蒙花","密蒙hua","密蒙hua","TCM-HU-133","密蒙花，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""密蒙花"""",""""pricePerGram"""":0.02}}","active"
"绵茵陈","绵茵陈","绵茵陈","绵茵陈","TCM-BX-134","绵茵陈，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""绵茵陈"""",""""pricePerGram"""":0.02}}","active"
"青葙子","青葙子","Qing葙zi","qing葙zi","TCM-QI-135","青葙子，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""青葙子"""",""""pricePerGram"""":0.02}}","active"
"桑叶","桑叶","桑ye","桑ye","TCM-YE-136","桑叶，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.824Z"""",""""originalData"""":{""""chineseName"""":""""桑叶"""",""""pricePerGram"""":0.02}}","active"
"葶苈子","葶苈子","葶苈zi","葶苈zi","TCM-ZI-137","葶苈子，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""葶苈子"""",""""pricePerGram"""":0.02}}","active"
"乌梅","乌梅","Wu梅","wu梅","TCM-WU-138","乌梅，中药材","其他中药","克",true,0.02,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""乌梅"""",""""pricePerGram"""":0.02}}","active"
"天葵子","天葵子","天葵zi","天葵zi","TCM-ZI-139","天葵子，中药材","其他中药","克",true,0.021,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""天葵子"""",""""pricePerGram"""":0.021}}","active"
"紫花地丁","紫花地丁","Zihuadi丁","zihuadi丁","TCM-ZI-140","紫花地丁，中药材","其他中药","克",true,0.021,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""紫花地丁"""",""""pricePerGram"""":0.021}}","active"
"半边莲","半边莲","Bianlian","bianlian","TCM-BI-141","半边莲，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""半边莲"""",""""pricePerGram"""":0.022}}","active"
"炒陈皮丝","炒陈皮丝","Citrus reticulata","chenpi","TCM-CH-142","炒陈皮丝，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""炒陈皮丝"""",""""pricePerGram"""":0.022}}","active"
"瓜蒌皮","瓜蒌皮","瓜蒌pi","瓜蒌pi","TCM-PI-143","瓜蒌皮，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""瓜蒌皮"""",""""pricePerGram"""":0.022}}","active"
"金钱草","金钱草","Jin钱cao","jin钱cao","TCM-JI-144","金钱草，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""金钱草"""",""""pricePerGram"""":0.022}}","active"
"炒荆芥","炒荆芥","荆芥","荆芥","TCM-KO-145","炒荆芥，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""炒荆芥"""",""""pricePerGram"""":0.022}}","active"
"佩兰","佩兰","佩兰","佩兰","TCM-XW-146","佩兰，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""佩兰"""",""""pricePerGram"""":0.022}}","active"
"六神曲","六神曲","Liu神曲","liu神曲","TCM-LI-147","六神曲，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""六神曲"""",""""pricePerGram"""":0.022}}","active"
"玉米须","玉米须","玉米须","玉米须","TCM-PJ-148","玉米须，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""玉米须"""",""""pricePerGram"""":0.022}}","active"
"泽泻","泽泻","泽泻","泽泻","TCM-DB-149","泽泻，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""泽泻"""",""""pricePerGram"""":0.022}}","active"
"枳实","枳实","Zhishi","zhishi","TCM-ZH-150","枳实，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""枳实"""",""""pricePerGram"""":0.022}}","active"
"炒枳实","炒枳实","Zhishi","zhishi","TCM-ZH-151","炒枳实，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""炒枳实"""",""""pricePerGram"""":0.022}}","active"
"竹茹","竹茹","竹茹","竹茹","TCM-VB-152","竹茹，中药材","其他中药","克",true,0.022,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""竹茹"""",""""pricePerGram"""":0.022}}","active"
"萆薢","萆薢","萆薢","萆薢","TCM-YU-153","萆薢，中药材","其他中药","克",true,0.0225,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""萆薢"""",""""pricePerGram"""":0.0225}}","active"
"白扁豆","白扁豆","Baibiandou","baibiandou","TCM-BA-154","白扁豆，中药材","其他中药","克",true,0.023,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""白扁豆"""",""""pricePerGram"""":0.023}}","active"
"槐花","槐花","槐hua","槐hua","TCM-HU-155","槐花，中药材","其他中药","克",true,0.023,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""槐花"""",""""pricePerGram"""":0.023}}","active"
"鸡蛋花","鸡蛋花","Ji蛋hua","ji蛋hua","TCM-JI-156","鸡蛋花，中药材","其他中药","克",true,0.023,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""鸡蛋花"""",""""pricePerGram"""":0.023}}","active"
"藕节","藕节","藕节","藕节","TCM-TA-157","藕节，中药材","其他中药","克",true,0.023,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""藕节"""",""""pricePerGram"""":0.023}}","active"
"炒山楂","炒山楂","Crataegus pinnatifida","shanzha","TCM-SH-158","炒山楂，中药材","其他中药","克",true,0.023,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""炒山楂"""",""""pricePerGram"""":0.023}}","active"
"丝瓜络","丝瓜络","瓜络","瓜络","TCM-DQ-159","丝瓜络，中药材","其他中药","克",true,0.023,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""丝瓜络"""",""""pricePerGram"""":0.023}}","active"
"香附","香附","Xiangfu","xiangfu","TCM-XI-160","香附，中药材","其他中药","克",true,0.023,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""香附"""",""""pricePerGram"""":0.023}}","active"
"香橼","香橼","Xiang橼","xiang橼","TCM-XI-161","香橼，中药材","其他中药","克",true,0.023,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""香橼"""",""""pricePerGram"""":0.023}}","active"
"槲寄生","槲寄生","槲寄生","槲寄生","TCM-EO-162","槲寄生，中药材","其他中药","克",true,0.02348,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""槲寄生"""",""""pricePerGram"""":0.02348}}","active"
"葛根","葛根","葛gen","葛gen","TCM-GE-163","葛根，中药材","其他中药","克",true,0.0235,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""葛根"""",""""pricePerGram"""":0.0235}}","active"
"矮地茶","矮地茶","矮di茶","矮di茶","TCM-DI-164","矮地茶，中药材","其他中药","克",true,0.024,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""矮地茶"""",""""pricePerGram"""":0.024}}","active"
"厚朴","厚朴","Magnolia officinalis","houpo","TCM-HO-165","厚朴，中药材","其他中药","克",true,0.024,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""厚朴"""",""""pricePerGram"""":0.024}}","active"
"昆布","昆布","昆布","昆布","TCM-OR-166","昆布，中药材","其他中药","克",true,0.024,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""昆布"""",""""pricePerGram"""":0.024}}","active"
"炒神曲","炒神曲","Medicated leaven","shenqu","TCM-SH-167","炒神曲，中药材","其他中药","克",true,0.024,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""炒神曲"""",""""pricePerGram"""":0.024}}","active"
"艾叶炭","艾叶炭","艾ye炭","艾ye炭","TCM-YE-168","艾叶炭，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""艾叶炭"""",""""pricePerGram"""":0.025}}","active"
"炒白扁豆","炒白扁豆","Baibiandou","baibiandou","TCM-BA-169","炒白扁豆，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""炒白扁豆"""",""""pricePerGram"""":0.025}}","active"
"刺五加","刺五加","刺wujia","刺wujia","TCM-WU-170","刺五加，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""刺五加"""",""""pricePerGram"""":0.025}}","active"
"垂盆草","垂盆草","垂盆cao","垂盆cao","TCM-CA-171","垂盆草，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""垂盆草"""",""""pricePerGram"""":0.025}}","active"
"地榆","地榆","Di榆","di榆","TCM-DI-172","地榆，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""地榆"""",""""pricePerGram"""":0.025}}","active"
"杜仲丝","杜仲丝","杜仲","杜仲","TCM-SI-173","杜仲丝，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""杜仲丝"""",""""pricePerGram"""":0.025}}","active"
"杜仲","杜仲","杜仲","杜仲","TCM-SI-174","杜仲，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""杜仲"""",""""pricePerGram"""":0.025}}","active"
"黑老虎根","黑老虎根","Hei老hugen","hei老hugen","TCM-HE-175","黑老虎根，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""黑老虎根"""",""""pricePerGram"""":0.025}}","active"
"藿香","藿香","藿xiang","藿xiang","TCM-XI-176","藿香，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""藿香"""",""""pricePerGram"""":0.025}}","active"
"韭菜子","韭菜子","韭菜zi","韭菜zi","TCM-ZI-177","韭菜子，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""韭菜子"""",""""pricePerGram"""":0.025}}","active"
"橘核","橘核","橘he","橘he","TCM-HE-178","橘核，中药材","其他中药","克",true,0.025,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.825Z"""",""""originalData"""":{""""chineseName"""":""""橘核"""",""""pricePerGram"""":0.025}}","active"
